"Source:","/Users/adrian/git/ESP32-Generic/KiCad/Generic.kicad_sch"
"Date:","Sunday, 02 January 2022 at 10:19:13"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","40"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Note","Notes","Order URL","Part No"
"","","C1","NF","Device:C","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","C2","100nF","Device:C","RevK:C_0603","~","","","","",""
"","","C3","47pF","Device:C","RevK:C_0603","~","","","","",""
"","","C4","47pF","Device:C","RevK:C_0603","~","","","","",""
"","","C5","10nF","Device:C","RevK:C_0603","~","","","","",""
"","","C6","0.1uF","RevK:Hidden","RevK:Hidden","","","X7R or X5R 0603","","",""
"","","C7","2.2uF","RevK:Hidden","RevK:Hidden","","","0603 or 0805","","",""
"","","C8","10uF","RevK:Hidden","RevK:Hidden","","","0603 or 0805","","",""
"","","D1","RGB","Device:LED_ARGB","RevK:LED-RGB-1.6x1.6","~","Kingbright","","","","APTF1616LSEEZGKQBKC"
"","","D2","D","Device:D","Diode_SMD:D_1206_3216Metric","~","","","","",""
"","","D3","BAV99S","Diode:BAV99S","RevK:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","Nexperia","","","","BAV99S"
"","","D4","BAV99S","Diode:BAV99S","RevK:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","Nexperia","","","","BAV99S"
"","","D5","Schottky","RevK:Hidden","RevK:Hidden","https://www.mouser.co.uk/datasheet/2/54/CD1206-B220_B2100-777245.pdf","Bourns","","","","CD1206-B2100"
"","","J1","Connector","Connector:Conn_01x06_Male","RevK:Molex_MiniSPOX_H6RA_0.1","~","Molex","","Not fitted","","0022057065"
"","","J2","USB-C","Connector:USB_C_Receptacle_USB2.0","RevK:USC16-TR-Round","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Valcon","","","https://www.toby.co.uk/signal-to-board-connectors/usb-connectors/csp-usc16-tr-valcon-usb-type-c-surface-mount-pcb-socket/","CSP-USC16-TR"
"","","J3","DC","RevK:PowerIn","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","Not fitted","",""
"","","L1","6.8uH","RevK:Hidden","RevK:Hidden","https://www.mouser.co.uk/datasheet/2/987/Laird_Performance_TYA4020_series__Rev_A_-1877538.pdf","Laird","","","","TYA4020"
"","","Q1","RN1701","RevK:RN1701","RevK:USV-5","https://www.mouser.co.uk/datasheet/2/408/RN1701_datasheet_en_20191003-1627196.pdf","Toshiba","","","","RN1701"
"","","R1","10K","Device:R","RevK:R_0603","~","","","","",""
"","","R2","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","R3","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","R4","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","R5","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","R6","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","R7","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"","","R8","732R","Device:R","RevK:R_0603","~","","","","",""
"","","R9","2K","Device:R","RevK:R_0603","~","","","","",""
"","","R10","324R","Device:R","RevK:R_0603","~","","","","",""
"","","R11","5K1","Device:R","RevK:R_0603","~","","","","",""
"","","R12","5K1","Device:R","RevK:R_0603","~","","","","",""
"","","R13","27R","Device:R","RevK:R_0603","~","","","","",""
"","","R14","27R","Device:R","RevK:R_0603","~","","","","",""
"","","R15","10K","Device:R","RevK:R_0603","~","","","","",""
"","","R16","10K","Device:R","RevK:R_0603","~","","","","",""
"","","R17","18K","Device:R","RevK:R_0603","~","","","","",""
"","","R18","1k","Device:R","RevK:R_0603","~","","","","",""
"","","U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","Espressif","","Can be -32D, -32E, etc, must have built in antenna. Select models with 16MB (128Mb) flash fitted","","ESP32-WROOM-32"
"","","U2","FT231XQ","Interface_USB:FT231XQ","RevK:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf","FTDI","","","","FT231XQ"
"","","U3","NX6020CAKS","RevK:NX6020CAKS","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/NX6020CAKS.pdf","Nexperia","","","","NX6020CAKS"
"","","U4","LMR16006YQ3","RevK:LMR16006YQ3","RevK:RegulatorBlock","https://www.ti.com/lit/ds/symlink/lmr16006y-q1.pdf","TI","","","","LMR16006YQ3"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Manufacturer","Note","Notes","Order URL","Part No"
"1","1","C1","NF","Device:C","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"2","1","C2","100nF","Device:C","RevK:C_0603","~","","","","",""
"3","2","C3, C4","47pF","Device:C","RevK:C_0603","~","","","","",""
"4","1","C5","10nF","Device:C","RevK:C_0603","~","","","","",""
"5","1","C6","0.1uF","RevK:Hidden","RevK:Hidden","","","X7R or X5R 0603","","",""
"6","1","C7","2.2uF","RevK:Hidden","RevK:Hidden","","","0603 or 0805","","",""
"7","1","C8","10uF","RevK:Hidden","RevK:Hidden","","","0603 or 0805","","",""
"8","1","D1","RGB","Device:LED_ARGB","RevK:LED-RGB-1.6x1.6","~","Kingbright","","","","APTF1616LSEEZGKQBKC"
"9","1","D2","D","Device:D","Diode_SMD:D_1206_3216Metric","~","","","","",""
"10","2","D3, D4","BAV99S","Diode:BAV99S","RevK:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf","Nexperia","","","","BAV99S"
"11","1","D5","Schottky","RevK:Hidden","RevK:Hidden","https://www.mouser.co.uk/datasheet/2/54/CD1206-B220_B2100-777245.pdf","Bourns","","","","CD1206-B2100"
"12","1","J1","Connector","Connector:Conn_01x06_Male","RevK:Molex_MiniSPOX_H6RA_0.1","~","Molex","","Not fitted","","0022057065"
"13","1","J2","USB-C","Connector:USB_C_Receptacle_USB2.0","RevK:USC16-TR-Round","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Valcon","","","https://www.toby.co.uk/signal-to-board-connectors/usb-connectors/csp-usc16-tr-valcon-usb-type-c-surface-mount-pcb-socket/","CSP-USC16-TR"
"14","1","J3","DC","RevK:PowerIn","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","Not fitted","",""
"15","1","L1","6.8uH","RevK:Hidden","RevK:Hidden","https://www.mouser.co.uk/datasheet/2/987/Laird_Performance_TYA4020_series__Rev_A_-1877538.pdf","Laird","","","","TYA4020"
"16","1","Q1","RN1701","RevK:RN1701","RevK:USV-5","https://www.mouser.co.uk/datasheet/2/408/RN1701_datasheet_en_20191003-1627196.pdf","Toshiba","","","","RN1701"
"17","3","R1, R15, R16","10K","Device:R","RevK:R_0603","~","","","","",""
"18","6","R2, R3, R4, R5, R6, R7","NF","Device:R","RevK:Pad_1206_0805_NF","~","","","Not fitted","",""
"19","1","R8","732R","Device:R","RevK:R_0603","~","","","","",""
"20","1","R9","2K","Device:R","RevK:R_0603","~","","","","",""
"21","1","R10","324R","Device:R","RevK:R_0603","~","","","","",""
"22","2","R11, R12","5K1","Device:R","RevK:R_0603","~","","","","",""
"23","2","R13, R14","27R","Device:R","RevK:R_0603","~","","","","",""
"24","1","R17","18K","Device:R","RevK:R_0603","~","","","","",""
"25","1","R18","1k","Device:R","RevK:R_0603","~","","","","",""
"26","1","U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","Espressif","","Can be -32D, -32E, etc, must have built in antenna. Select models with 16MB (128Mb) flash fitted","","ESP32-WROOM-32"
"27","1","U2","FT231XQ","Interface_USB:FT231XQ","RevK:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT231X.pdf","FTDI","","","","FT231XQ"
"28","1","U3","NX6020CAKS","RevK:NX6020CAKS","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/NX6020CAKS.pdf","Nexperia","","","","NX6020CAKS"
"29","1","U4","LMR16006YQ3","RevK:LMR16006YQ3","RevK:RegulatorBlock","https://www.ti.com/lit/ds/symlink/lmr16006y-q1.pdf","TI","","","","LMR16006YQ3"
