Designator,Mid X,Mid Y,Rotation,Layer
C1,39.06,37.76,90,top
C2,39.06,39.76,270,top
C3,39.3,41.2,180,top
C4,46.8,40.8,180,top
C5,46.8,30.6,180,top
C6,44.36,35.45,270,top
C7,39.36,35.45,90,top
C8,41.86,36.16,180,top
D1,48.75,40.7,135,top
D2,48.75,38.2,135,top
D3,48.75,35.7,135,top
D4,48.75,33.2,135,top
D5,48.75,30.7,135,top
J1,46.8,35.7,0,bottom
L2,41.86,38.76,180,top
R1,42.1,41.2,180,top
R10,40.06,32.26,180,top
R11,43.66,32.26,180,top
R2,46.8,38.55,180,top
R9,41.86,32.26,180,top
U1,40.4,42.4,90,top
U2,30.6,35.7,90,top
U5,41.86,34.16,180,top
